PrimeGender,TargetID,PrimeID,PrimeWordtype,TargetGender,PrimeValence,Accuracy,RT,TargetWord,RequiredResponse,PrimeWord,Response
f,6,23,verb,town,negativ,1,573.1122251570469,Flensburg,town,bügeln,town
m,0,23,verb,f,negativ,1,563.840935090866,Annette,f,boxen,"['m', 'f']"
f,21,19,substantiv,f,negativ,1,538.9439160562688,Tanja,f,Küche,"['m', 'f']"
m,2,9,substantiv,m,neutral,0,502.5091177790273,Bernhard,m,Skat,town
m,10,13,verb,f,neutral,1,876.3233874694834,Daniela,f,rasieren,"['m', 'f']"
m,7,26,adjektiv,town,negativ,1,733.0828359470161,Bielefeld,town,brutal,town
f,14,29,definition,town,NA,1,793.5402404496017,Gladbach,town,Schwester,town
m,15,19,substantiv,m,negativ,1,607.6040390607886,Markus,m,Glatze,"['m', 'f']"
m,4,30,definition,town,NA,0,641.2052369785215,Cottbus,town,König,"['m', 'f']"
m,16,27,definition,town,NA,1,592.6049260449417,Koblenz,town,Mann,town
f,27,2,substantiv,town,positiv,1,575.4384984682019,Wuppertal,town,Familie,town
m,21,23,verb,town,negativ,1,507.5921660434233,Dresden,town,boxen,town
m,24,18,substantiv,town,negativ,1,447.77813940027045,Darmstadt,town,Bierbauch,town
m,5,29,definition,town,NA,1,634.3200043581874,Passau,town,Bruder,town
f,15,30,definition,town,NA,1,491.9778910448258,Wolfsburg,town,Königin,town
f,15,11,substantiv,m,neutral,1,565.1098114424258,Markus,m,Diät,"['m', 'f']"
f,18,15,adjektiv,town,neutral,1,712.1346428107245,Fulda,town,sensibel,town
m,7,23,verb,m,negativ,1,655.4235244982465,Georg,m,boxen,"['m', 'f']"
m,11,25,adjektiv,town,negativ,1,501.3355049313759,Bochum,town,grob,town
f,4,16,adjektiv,f,neutral,0,547.0742789937049,Claudia,f,emotional,town
f,4,28,definition,town,NA,1,514.5212589868606,Münster,town,Mutter,town
m,19,16,adjektiv,m,neutral,1,595.2971676567813,Thomas,m,sachlich,"['m', 'f']"
