Age;Age.Group;Sex;Condition;Gains.e.c;Losses.e.c;Accuracy.PM.Task;Accuracy.OngoingTask;RT.Mdn.OngoingTask;RT.Mdn.PM.Task;Monetary.Motivation;PayoffRetained;Importance.OngoingTask;Importance.PMTask;N.Nontargets;N.Targets;LossAversion;Education;Income;LifeSatisfaction;Health;CognitiveSpeed;Vocabulary;SocialValueOrientation;GainOrientation;MaintenanceOrientation;LossOrientation;PositiveAffect;Negative.Affect;PRMQ.Prospective;PRMQ.Retrospective;ZAge;ZAccuracy.PM.Task;ZAccuracy.OngoingTask;ZRT.Mdn.OngoingTask;ZMonetary.Motivation;ZImportance.OngoingTask;ZImportance.PMTask;ZCognitiveSpeed;ZGainOrientation;ZMaintenanceOrientation;ZLossOrientation;ZAge.x.Gains;ZAge.x.Losses
32;Younger;1;Control;-1;-1;,25;,944078947368421;963;1080;90; ;80;70;304;12;2;6;7;6;5;22;32;16,2903392319252;6,16666666666667;6;3,5;3,3;3,7;4,25;4,5;-,893458872356269;-,705325020959994;-,434629954348332;-1,00800788195168;,968018385840813;-,164306860871825;-,291107389682324;-1,04872454426653;-,240203584444629;,0245148225957787;-1,06560111552205;,893458872356269;,893458872356269
20;Younger;2;Control;-1;-1;,5;,954098360655738;981;917,5;0; ;60;50;305;12;2;4;3;5;6;40;30;30,8438074131448;7,83333333333333;2,83333333333333;2,33333333333333;2,5;1;3,25;3,125;-1,46274240164522;,112004402470041;-,1410651720312;-,967634233582555;-1,36348038743468;-1,05378761145613;-1,07860154414211;,742454962018951;1,10254937207815;-1,97169216020326;-1,6620726417583;1,46274240164522;1,46274240164522
23;Younger;2;Control;-1;-1;0;,980066445182724;834;836;0; ;85;30;301;12;6;4;1;7;5;34;30;45;8;1,33333333333333;1,83333333333333;2,4;1;3,5;4,375;-1,32042151932298;-1,52265444439003;,619789267520446;-1,29735236193039;-1,36348038743468;,0580633267742523;-1,8660956986019;,145395126590458;1,23682466773042;-2,91726388889755;-1,91770329585955;1,32042151932298;1,32042151932298
22;Younger;2;Control;-1;-1;,5;,973684210526316;1117,5;1694;0; ;95;95;304;12;4;1;1;6;6;30;29;7,81529354676688;6,33333333333333;4,83333333333333;3,83333333333333;2,8;2,9;3,375;4,125;-1,36786181343039;,112004402470041;,432792357234579;-,661467400116709;-1,36348038743468;,502803702066407;,693260303392408;-,252644763695204;-,105928288792352;-,710929855277552;-,895180679454554;1,36786181343039;1,36786181343039
20;Younger;1;Control;-1;-1;,583333333333333;,947368421052632;983;925;0; ;85;75;304;12;4;4;1;6;5;40;27;34,8753283446022;7;5,16666666666667;1,5;2,5;1;3,375;3,75;-1,46274240164522;,384447543613387;-,338249697505787;-,963148272652653;-1,36348038743468;,0580633267742523;-,0942338510673774;,742454962018951;,431172893816758;-,5008028044566;-2,08812373192704;1,46274240164522;1,46274240164522
19;Younger;2;Control;-1;-1;,5;,904290429042904;1444;1598,5;50; ;95;93;303;12;6;4;9;3;5;40;28;7,81529354676688;7,83333333333333;5,83333333333333;6,16666666666667;2,4;1,2;2,5;3,25;-1,51018269575263;,112004402470041;-1,60041754949001;,070865721689875;-,0682032911705196;,502803702066407;,61451088794643;,742454962018951;1,10254937207815;-,0805487028146973;,297762373017936;1,51018269575263;1,51018269575263
21;Younger;2;Control;-1;-1;,666666666666667;,940983606557377;1556;1573,5;60; ;95;80;305;12;5;4;9;5;6;31;28;29,5603544646807;6,66666666666667;6,66666666666667;6,33333333333333;2,6;1,9;3,875;3,25;-1,41530210753781;,656890684756732;-,525322196032956;,322079533764415;,190852128082313;,502803702066407;,102639687547569;-,153134791123788;,162622302512203;,444768924237682;,382972591051685;1,41530210753781;1,41530210753781
29;Younger;2;Control;-1;-1;,166666666666667;,866449511400652;736;709;50; ;80;20;307;12;3;6;9;6;6;31;32;38,8906832147631;5,66666666666667;4,5;2;3,9;1;4,25;4,5;-1,03577975467851;-,97776816210334;-2,70914122739146;-1,51716444749561;-,0682032911705196;-,164306860871825;-2,25984277583179;-,153134791123788;-,643029471401462;-,921056906098504;-1,8324930778258;1,03577975467851;1,03577975467851
34;Younger;2;Control;-1;-1;,0833333333333333;,940789473684211;1169;937,5;0; ;100;60;304;12;2;6;3;4;3;35;32;34,8753283446022;7,66666666666667;7,33333333333333;6,16666666666667;2,6;1;4,5;3,625;-,798578284141444;-1,25021130324668;-,531010211190876;-,54595390617172;-1,36348038743468;,725173889712485;-,684854466912217;,244905099161874;,968274076425868;,865023025879585;,297762373017936;,798578284141444;,798578284141444
27;Younger;2;Control;-1;-1;,25;,973509933774834;935,5;1077;30; ;100;100;302;12;1;5;1;4;3;40;33;45;7,5;3,5;4,83333333333333;4;1;2,5;3,125;-1,13066034289333;-,705325020959994;,427686118461462;-1,06968984473784;-,586314129676186;,725173889712485;,890133842007355;,742454962018951;,833998780773591;-1,55143805856136;-,383919371252058;1,13066034289333;1,13066034289333
32;Younger;2;Control;-1;-1;,333333333333333;,95049504950495;875;809;0; ;80;80;303;12;4;6;1;5;6;40;32;45;5,66666666666667;5,66666666666667;5,33333333333333;3,2;2;3,75;3,875;-,893458872356269;-,432881879816649;-,246640740506931;-1,20539016286739;-1,36348038743468;-,164306860871825;,102639687547569;,742454962018951;-,643029471401462;-,185612228225173;-,12828871715081;,893458872356269;,893458872356269
32;Younger;1;Control;-1;-1;,0833333333333333;,970099667774086;1254;1517;96; ;95;80;301;12;5;6;4;6;5;28;35;9,54913392873593;6,83333333333333;6,16666666666667;4,16666666666667;4,5;2;4,25;3,75;-,893458872356269;-1,25021130324668;,3277666952932;-,355300566650863;1,12345163739251;,502803702066407;,102639687547569;-,451664708838035;,29689759816448;,129578348006255;-,724760243387055;,893458872356269;,893458872356269
26;Younger;1;Gains;1;0;,916666666666667;,956953642384106;2151;1301,5;100;0;100;100;302;12;2;4;1;7;7;45;33;45;8;6,16666666666667;6,33333333333333;3,5;1;4,375;4,375;-1,17810063700074;1,47422010818677;-,0574065649844607;1,65665291041041;1,22707380509365;,725173889712485;,890133842007355;1,24000482487603;1,23682466773042;,129578348006255;,382972591051685;-1,17810063700074;0
