id,cond,n_back,flash_err_rate,rt
16,A2V1,0_back,0.8,0.700714352195738
16,A2V1,1_back,0.866666666666667,0.797316403754441
16,A2V1,2_back,0.866666666666667,0.864611184922978
1,A2V1LATE,no_back,0,0.752776739798719
1,A2V1LATE,0_back,0,0.823861688336668
1,A2V1LATE,1_back,0.0833333333333333,0.924428711306642
1,A2V1LATE,2_back,0.166666666666667,0.828142335007821
2,A2V1LATE,no_back,0.0833333333333333,0.813343354599359
2,A2V1LATE,0_back,0,0.627505867661966
2,A2V1LATE,1_back,0,0.619647354488734
2,A2V1LATE,2_back,0,0.730461389723435
3,A2V1LATE,no_back,0,0.515613308198226
3,A2V1LATE,0_back,0,0.692720797784811
3,A2V1LATE,1_back,0,0.61435750983704
3,A2V1LATE,2_back,0,0.592254680614133
4,A2V1LATE,no_back,0.0833333333333333,0.835777265216166
4,A2V1LATE,0_back,0.583333333333333,1.2198481854618901
4,A2V1LATE,1_back,0.666666666666667,1.20071168483385
4,A2V1LATE,2_back,0.416666666666667,0.984382694599018
5,A2V1LATE,no_back,0,0.712675953082604
5,A2V1LATE,0_back,0.5,0.985474437036222
5,A2V1LATE,1_back,0.333333333333333,0.940489698528836
5,A2V1LATE,2_back,0.333333333333333,0.980150942176503
6,A2V1LATE,no_back,0.5,0.653972845047216
6,A2V1LATE,0_back,0.5,0.869577829140402
6,A2V1LATE,1_back,0.25,1.01299867448089
6,A2V1LATE,2_back,0.5,0.668344314162672
7,A2V1LATE,no_back,0,0.72997799868881
7,A2V1LATE,0_back,0.0833333333333333,0.67997312130463206
7,A2V1LATE,1_back,0,0.894279898853256
7,A2V1LATE,2_back,0.25,0.904060132804551
8,A2V1LATE,no_back,0.666666666666667,0.703752622545835
8,A2V1LATE,0_back,0.583333333333333,0.898583009081752
8,A2V1LATE,1_back,0.916666666666667,0.723950815350387
8,A2V1LATE,2_back,0.5,0.834383601023133
9,A2V1LATE,no_back,0,1.10237470702486
9,A2V1LATE,0_back,0.0833333333333333,1.0341812306821
9,A2V1LATE,1_back,0.25,1.04557973073558
9,A2V1LATE,2_back,0.0833333333333333,0.954110196752784
10,A2V1LATE,no_back,0.666666666666667,0.665652825899694
10,A2V1LATE,0_back,0.416666666666667,0.869276751910851
10,A2V1LATE,1_back,0.666666666666667,0.836550019569889
10,A2V1LATE,2_back,0.75,0.701960451731187
11,A2V1LATE,no_back,0,0.71266604615812
11,A2V1LATE,0_back,0.416666666666667,0.816721766947012
11,A2V1LATE,1_back,0.0833333333333333,0.741958418477831
11,A2V1LATE,2_back,0.166666666666667,0.80561745212132
12,A2V1LATE,no_back,0.25,0.901639903734425
12,A2V1LATE,0_back,0.333333333333333,1.04625550905894
12,A2V1LATE,1_back,0.666666666666667,0.908716514385863
12,A2V1LATE,2_back,0.25,0.943743186220341
13,A2V1LATE,no_back,0.0833333333333333,0.49583777060828
13,A2V1LATE,0_back,0.25,0.720458444284911
13,A2V1LATE,1_back,0,0.579378542580647
13,A2V1LATE,2_back,0.25,0.684461147116053
14,A2V1LATE,no_back,0.166666666666667,0.754805436243866
14,A2V1LATE,0_back,0.0833333333333333,0.765214293396942
14,A2V1LATE,1_back,0.166666666666667,0.69869566674303
14,A2V1LATE,2_back,0,0.776664920000561
